agency_id,route_color,route_desc,route_id,route_long_name,route_short_name,route_text_color,route_type,route_url
nmbssncb,202875,"",gr:nmbssncb:755,Maubeuge (FR) -- Charleroi-Central,S63,FFFFFF,2,""
nmbssncb,202875,"",gr:nmbssncb:756,Strasbourg (FR) -- Bruxelles-Midi,S63,FFFFFF,2,""
nmbssncb,005F33,"",gr:nmbssncb:757,Anvers-Central -- Anvers-Berchem,S1,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:758,Lille Flandres (FR) -- Tournai,IC,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:759,Lille Flandres (FR) -- Namur,IC,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:76,Zottegem -- Courtrai,IC,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:760,Lille Flandres (FR) -- Charleroi-Central,IC,FFFFFF,2,""
nmbssncb,005F33,"",gr:nmbssncb:761,Vilvorde -- Bruxelles-Nord,S1,FFFFFF,2,""
nmbssncb,005F33,"",gr:nmbssncb:762,Vilvorde -- Anvers-Central,S1,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:763,Bruxelles-Midi -- Kapellen,IC,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:764,Essen -- Charleroi-Central,IC,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:765,Nivelles -- Essen,IC,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:766,Anvers-Berchem -- Charleroi-Central,IC,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:767,Bruxelles-Nord -- Charleroi-Central,IC,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:768,Kapellen -- Charleroi-Central,IC,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:769,Anvers-Noorderdokken -- Charleroi-Central,IC,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:77,Menin -- Poperinge,IC,FFFFFF,2,""
nmbssncb,000000,"",gr:nmbssncb:770,Bruxelles-Midi -- Alost,S10,FFFFFF,2,""
nmbssncb,000000,"",gr:nmbssncb:771,Jette -- Alost,S10,FFFFFF,2,""
nmbssncb,000000,"",gr:nmbssncb:772,Termonde -- Alost,S10,FFFFFF,2,""
nmbssncb,000000,"",gr:nmbssncb:773,Jette -- Bruxelles-Midi,S10,FFFFFF,2,""
nmbssncb,000000,"",gr:nmbssncb:774,Termonde -- Denderleeuw,S10,FFFFFF,2,""
nmbssncb,000000,"",gr:nmbssncb:775,Jette -- Termonde,S10,FFFFFF,2,""
nmbssncb,000000,"",gr:nmbssncb:776,Opwijk -- Alost,S10,FFFFFF,2,""
nmbssncb,000000,"",gr:nmbssncb:777,Bruxelles-Midi -- Denderleeuw,S10,FFFFFF,2,""
nmbssncb,000000,"",gr:nmbssncb:778,Bruxelles-Central -- Alost,S10,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:779,Luxembourg (LU) -- Namur,IC,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:78,Burst -- Courtrai,IC,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:780,Luxembourg (LU) -- Marloie,IC,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:781,Bruxelles-Midi -- Marbehan,IC,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:782,Luxembourg (LU) -- Ciney,IC,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:783,Luxembourg (LU) -- Libramont,IC,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:784,Luxembourg (LU) -- Bruxelles-Central,IC,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:785,Luxembourg (LU) -- Bruxelles-Nord,IC,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:786,Libramont -- Arlon,IC,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:787,Bruxelles-Nord -- Arlon,IC,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:788,Luxembourg (LU) -- Ottignies,IC,FFFFFF,2,""
nmbssncb,CD1E1F,"",gr:nmbssncb:789,Bruxelles-Luxembourg -- Alost,S4,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:79,Ostende -- Courtrai,IC,FFFFFF,2,""
nmbssncb,CD1E1F,"",gr:nmbssncb:790,Ternat -- Alost,S4,FFFFFF,2,""
nmbssncb,CD1E1F,"",gr:nmbssncb:791,Bruxelles-Luxembourg -- Bruxelles-Nord,S4,FFFFFF,2,""
nmbssncb,CD1E1F,"",gr:nmbssncb:792,Bruxelles-Nord -- Alost,S4,FFFFFF,2,""
nmbssncb,CD1E1F,"",gr:nmbssncb:793,Bruxelles-Luxembourg -- Denderleeuw,S4,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:794,Brussels Airport-Zaventem -- Gand-Saint-Pierre,IC,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:795,Brussels Airport-Zaventem -- Merelbeke,IC,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:796,Schaerbeek -- Gand-Saint-Pierre,IC,FFFFFF,2,""
